,0,1,2
296,2016,American Airlines Arena           ,dallas mavericks
297,2017,American Airlines Arena           ,dallas mavericks
298,2018,American Airlines Arena           ,dallas mavericks
299,1967,Auditorium Arena                   ,denver nuggets
300,1968,Auditorium Arena                   ,denver nuggets
301,1969,Auditorium Arena                   ,denver nuggets
302,1970,Auditorium Arena                   ,denver nuggets
303,1971,Auditorium Arena                   ,denver nuggets
304,1972,Auditorium Arena                   ,denver nuggets
305,1973,Auditorium Arena                   ,denver nuggets
306,1974,Auditorium Arena                   ,denver nuggets
307,1975,McNichols Sports Arena            ,denver nuggets
308,1976,McNichols Sports Arena            ,denver nuggets
309,1977,McNichols Sports Arena            ,denver nuggets
310,1978,McNichols Sports Arena            ,denver nuggets
311,1979,McNichols Sports Arena            ,denver nuggets
312,1980,McNichols Sports Arena            ,denver nuggets
313,1981,McNichols Sports Arena            ,denver nuggets
314,1982,McNichols Sports Arena            ,denver nuggets
315,1983,McNichols Sports Arena            ,denver nuggets
316,1984,McNichols Sports Arena            ,denver nuggets
317,1985,McNichols Sports Arena            ,denver nuggets
318,1986,McNichols Sports Arena            ,denver nuggets
319,1987,McNichols Sports Arena            ,denver nuggets
320,1988,McNichols Sports Arena            ,denver nuggets
321,1989,McNichols Sports Arena            ,denver nuggets
322,1990,McNichols Sports Arena            ,denver nuggets
323,1991,McNichols Sports Arena            ,denver nuggets
324,1992,McNichols Sports Arena            ,denver nuggets
325,1993,McNichols Sports Arena            ,denver nuggets
326,1994,McNichols Sports Arena            ,denver nuggets
327,1995,McNichols Sports Arena            ,denver nuggets
328,1996,McNichols Sports Arena            ,denver nuggets
329,1997,McNichols Sports Arena            ,denver nuggets
330,1998,McNichols Sports Arena            ,denver nuggets
331,1999,Pepsi Center                      ,denver nuggets
332,2000,Pepsi Center                      ,denver nuggets
333,2001,Pepsi Center                      ,denver nuggets
334,2002,Pepsi Center                      ,denver nuggets
335,2003,Pepsi Center                      ,denver nuggets
336,2004,Pepsi Center                      ,denver nuggets
337,2005,Pepsi Center                      ,denver nuggets
338,2006,Pepsi Center                      ,denver nuggets
339,2007,Pepsi Center                      ,denver nuggets
340,2008,Pepsi Center                      ,denver nuggets
341,2009,Pepsi Center                      ,denver nuggets
342,2010,Pepsi Center                      ,denver nuggets
343,2011,Pepsi Center                      ,denver nuggets
344,2012,Pepsi Center                      ,denver nuggets
345,2013,Pepsi Center                      ,denver nuggets
346,2014,Pepsi Center                      ,denver nuggets
347,2015,Pepsi Center                      ,denver nuggets
348,2016,Pepsi Center                      ,denver nuggets
349,2017,Pepsi Center                      ,denver nuggets
350,2018,Pepsi Center                      ,denver nuggets
351,1948,North Side High School Gym   Fort   ,detroit pistons
