,year,venue,team,abv
1380,2015,Chesapeake Energy Arena         ,Oklahoma City Thunder,OKC
1381,2016,Chesapeake Energy Arena         ,Oklahoma City Thunder,OKC
1382,2017,Chesapeake Energy Arena         ,Oklahoma City Thunder,OKC
1383,2018,Chesapeake Energy Arena         ,Oklahoma City Thunder,OKC
1384,1995,SkyDome                           ,Toronto Raptors ,TOR
1385,1996,SkyDome                           ,Toronto Raptors ,TOR
1386,1997,SkyDome                           ,Toronto Raptors ,TOR
1387,1998,SkyDome                           ,Toronto Raptors ,TOR
1388,1999,Air Canada Centre                ,Toronto Raptors ,TOR
1389,2000,Air Canada Centre                ,Toronto Raptors ,TOR
1390,2001,Air Canada Centre                ,Toronto Raptors ,TOR
1391,2002,Air Canada Centre                ,Toronto Raptors ,TOR
1392,2003,Air Canada Centre                ,Toronto Raptors ,TOR
1393,2004,Air Canada Centre                ,Toronto Raptors ,TOR
1394,2005,Air Canada Centre                ,Toronto Raptors ,TOR
1395,2006,Air Canada Centre                ,Toronto Raptors ,TOR
1396,2007,Air Canada Centre                ,Toronto Raptors ,TOR
1397,2008,Air Canada Centre                ,Toronto Raptors ,TOR
1398,2009,Air Canada Centre                ,Toronto Raptors ,TOR
1399,2010,Air Canada Centre                ,Toronto Raptors ,TOR
1400,2011,Air Canada Centre                ,Toronto Raptors ,TOR
1401,2012,Air Canada Centre                ,Toronto Raptors ,TOR
1402,2013,Air Canada Centre                ,Toronto Raptors ,TOR
1403,2014,Air Canada Centre                ,Toronto Raptors ,TOR
1404,2015,Air Canada Centre                ,Toronto Raptors ,TOR
1405,2016,Air Canada Centre                ,Toronto Raptors ,TOR
1406,2017,Air Canada Centre                ,Toronto Raptors ,TOR
1407,2018,Air Canada Centre                ,Toronto Raptors ,TOR
1408,1974,Municipal Auditorium       ,Utah Jazz,UTA
1409,1975,Superdome                      ,Utah Jazz,UTA
1410,1976,Superdome                      ,Utah Jazz,UTA
1411,1977,Superdome                      ,Utah Jazz,UTA
1412,1978,Superdome                      ,Utah Jazz,UTA
1413,1979,Salt Palace                ,Utah Jazz,UTA
1414,1980,Salt Palace                ,Utah Jazz,UTA
1415,1981,Salt Palace                ,Utah Jazz,UTA
1416,1982,Salt Palace                ,Utah Jazz,UTA
1417,1983,Salt Palace                ,Utah Jazz,UTA
1418,1984,Salt Palace                ,Utah Jazz,UTA
1419,1985,Salt Palace                ,Utah Jazz,UTA
1420,1986,Salt Palace                ,Utah Jazz,UTA
1421,1987,Salt Palace                ,Utah Jazz,UTA
1422,1988,Salt Palace                ,Utah Jazz,UTA
1423,1989,Salt Palace                ,Utah Jazz,UTA
1424,1990,Salt Palace                ,Utah Jazz,UTA
1425,1991,Delta Center                 ,Utah Jazz,UTA
1426,1992,Delta Center                 ,Utah Jazz,UTA
1427,1993,Delta Center                 ,Utah Jazz,UTA
1428,1994,Delta Center                 ,Utah Jazz,UTA
1429,1995,Delta Center                 ,Utah Jazz,UTA
1430,1996,Delta Center                 ,Utah Jazz,UTA
1431,1997,Delta Center                 ,Utah Jazz,UTA
1432,1998,Delta Center                 ,Utah Jazz,UTA
1433,1999,Delta Center                 ,Utah Jazz,UTA
1434,2000,Delta Center                 ,Utah Jazz,UTA
1435,2001,Delta Center                 ,Utah Jazz,UTA
1436,2002,Delta Center                 ,Utah Jazz,UTA
1437,2003,Delta Center                 ,Utah Jazz,UTA
1438,2004,Delta Center                 ,Utah Jazz,UTA
1439,2005,Delta Center                 ,Utah Jazz,UTA
1440,2006,Energy Solutions Arena      ,Utah Jazz,UTA
1441,2007,Energy Solutions Arena      ,Utah Jazz,UTA
1442,2008,Energy Solutions Arena      ,Utah Jazz,UTA
1443,2009,Energy Solutions Arena      ,Utah Jazz,UTA
1444,2010,Energy Solutions Arena      ,Utah Jazz,UTA
1445,2011,Energy Solutions Arena      ,Utah Jazz,UTA
1446,2012,Energy Solutions Arena      ,Utah Jazz,UTA
1447,2013,Energy Solutions Arena      ,Utah Jazz,UTA
1448,2014,Energy Solutions Arena      ,Utah Jazz,UTA
1449,2015,Vivint Smart Home Arena     ,Utah Jazz,UTA
1450,2016,Vivint Smart Home Arena     ,Utah Jazz,UTA
1451,2017,Vivint Smart Home Arena     ,Utah Jazz,UTA
1452,2018,Vivint Smart Home Arena     ,Utah Jazz,UTA
1453,1961,Chicago Amphitheater             ,Washington Wizards,WAS
1454,1962,Chicago Coliseum                  ,Washington Wizards,WAS
1455,1963,Baltimore Civic Center         ,Washington Wizards,WAS
1456,1964,Baltimore Civic Center         ,Washington Wizards,WAS
1457,1965,Baltimore Civic Center         ,Washington Wizards,WAS
1458,1966,Baltimore Civic Center         ,Washington Wizards,WAS
1459,1967,Baltimore Civic Center         ,Washington Wizards,WAS
1460,1968,Baltimore Civic Center         ,Washington Wizards,WAS
1461,1969,Baltimore Civic Center         ,Washington Wizards,WAS
1462,1970,Baltimore Civic Center         ,Washington Wizards,WAS
1463,1971,Baltimore Civic Center         ,Washington Wizards,WAS
1464,1972,Baltimore Civic Center         ,Washington Wizards,WAS
1465,1973,USAir Arena                     ,Washington Wizards,WAS
1466,1974,USAir Arena                     ,Washington Wizards,WAS
1467,1975,USAir Arena                     ,Washington Wizards,WAS
1468,1976,USAir Arena                     ,Washington Wizards,WAS
1469,1977,USAir Arena                     ,Washington Wizards,WAS
1470,1978,USAir Arena                     ,Washington Wizards,WAS
1471,1979,USAir Arena                     ,Washington Wizards,WAS
1472,1980,USAir Arena                     ,Washington Wizards,WAS
1473,1981,USAir Arena                     ,Washington Wizards,WAS
1474,1982,USAir Arena                     ,Washington Wizards,WAS
1475,1983,USAir Arena                     ,Washington Wizards,WAS
1476,1984,USAir Arena                     ,Washington Wizards,WAS
1477,1985,USAir Arena                     ,Washington Wizards,WAS
1478,1986,USAir Arena                     ,Washington Wizards,WAS
1479,1987,USAir Arena                     ,Washington Wizards,WAS
1480,1988,USAir Arena                     ,Washington Wizards,WAS
1481,1989,USAir Arena                     ,Washington Wizards,WAS
1482,1990,USAir Arena                     ,Washington Wizards,WAS
1483,1991,USAir Arena                     ,Washington Wizards,WAS
1484,1992,USAir Arena                     ,Washington Wizards,WAS
1485,1993,USAir Arena                     ,Washington Wizards,WAS
1486,1994,USAir Arena                     ,Washington Wizards,WAS
1487,1995,USAir Arena                     ,Washington Wizards,WAS
1488,1996,USAir Arena                     ,Washington Wizards,WAS
1489,1997,MCI Center                    ,Washington Wizards,WAS
1490,1998,MCI Center                    ,Washington Wizards,WAS
1491,1999,MCI Center                    ,Washington Wizards,WAS
1492,2000,MCI Center                    ,Washington Wizards,WAS
1493,2001,MCI Center                    ,Washington Wizards,WAS
1494,2002,MCI Center                    ,Washington Wizards,WAS
1495,2003,MCI Center                    ,Washington Wizards,WAS
1496,2004,MCI Center                    ,Washington Wizards,WAS
1497,2005,Verizon Center               ,Washington Wizards,WAS
1498,2006,Verizon Center               ,Washington Wizards,WAS
1499,2007,Verizon Center               ,Washington Wizards,WAS
1500,2008,Verizon Center               ,Washington Wizards,WAS
1501,2009,Verizon Center               ,Washington Wizards,WAS
1502,2010,Verizon Center               ,Washington Wizards,WAS
1503,2011,Verizon Center               ,Washington Wizards,WAS
1504,2012,Verizon Center               ,Washington Wizards,WAS
1505,2013,Verizon Center               ,Washington Wizards,WAS
1506,2014,Verizon Center               ,Washington Wizards,WAS
1507,2015,Verizon Center               ,Washington Wizards,WAS
1508,2016,Verizon Center               ,Washington Wizards,WAS
1509,2017,Verizon Center               ,Washington Wizards,WAS
1510,2018,Verizon Center               ,Washington Wizards,WAS
