,year,venue,team,abv
280,2000,Reunion Arena                     ,Dallas Mavericks,DAL
281,2001,American Airlines Arena           ,Dallas Mavericks,DAL
282,2002,American Airlines Arena           ,Dallas Mavericks,DAL
283,2003,American Airlines Arena           ,Dallas Mavericks,DAL
284,2004,American Airlines Arena           ,Dallas Mavericks,DAL
285,2005,American Airlines Arena           ,Dallas Mavericks,DAL
286,2006,American Airlines Arena           ,Dallas Mavericks,DAL
287,2007,American Airlines Arena           ,Dallas Mavericks,DAL
288,2008,American Airlines Arena           ,Dallas Mavericks,DAL
289,2009,American Airlines Arena           ,Dallas Mavericks,DAL
290,2010,American Airlines Arena           ,Dallas Mavericks,DAL
291,2011,American Airlines Arena           ,Dallas Mavericks,DAL
292,2012,American Airlines Arena           ,Dallas Mavericks,DAL
293,2013,American Airlines Arena           ,Dallas Mavericks,DAL
294,2014,American Airlines Arena           ,Dallas Mavericks,DAL
295,2015,American Airlines Arena           ,Dallas Mavericks,DAL
296,2016,American Airlines Arena           ,Dallas Mavericks,DAL
297,2017,American Airlines Arena           ,Dallas Mavericks,DAL
298,2018,American Airlines Arena           ,Dallas Mavericks,DAL
299,1967,Auditorium Arena                   ,Denver Nuggets,DEN
300,1968,Auditorium Arena                   ,Denver Nuggets,DEN
301,1969,Auditorium Arena                   ,Denver Nuggets,DEN
302,1970,Auditorium Arena                   ,Denver Nuggets,DEN
303,1971,Auditorium Arena                   ,Denver Nuggets,DEN
304,1972,Auditorium Arena                   ,Denver Nuggets,DEN
305,1973,Auditorium Arena                   ,Denver Nuggets,DEN
306,1974,Auditorium Arena                   ,Denver Nuggets,DEN
307,1975,McNichols Sports Arena            ,Denver Nuggets,DEN
308,1976,McNichols Sports Arena            ,Denver Nuggets,DEN
309,1977,McNichols Sports Arena            ,Denver Nuggets,DEN
310,1978,McNichols Sports Arena            ,Denver Nuggets,DEN
311,1979,McNichols Sports Arena            ,Denver Nuggets,DEN
312,1980,McNichols Sports Arena            ,Denver Nuggets,DEN
313,1981,McNichols Sports Arena            ,Denver Nuggets,DEN
314,1982,McNichols Sports Arena            ,Denver Nuggets,DEN
315,1983,McNichols Sports Arena            ,Denver Nuggets,DEN
316,1984,McNichols Sports Arena            ,Denver Nuggets,DEN
317,1985,McNichols Sports Arena            ,Denver Nuggets,DEN
318,1986,McNichols Sports Arena            ,Denver Nuggets,DEN
319,1987,McNichols Sports Arena            ,Denver Nuggets,DEN
320,1988,McNichols Sports Arena            ,Denver Nuggets,DEN
321,1989,McNichols Sports Arena            ,Denver Nuggets,DEN
322,1990,McNichols Sports Arena            ,Denver Nuggets,DEN
323,1991,McNichols Sports Arena            ,Denver Nuggets,DEN
324,1992,McNichols Sports Arena            ,Denver Nuggets,DEN
325,1993,McNichols Sports Arena            ,Denver Nuggets,DEN
326,1994,McNichols Sports Arena            ,Denver Nuggets,DEN
327,1995,McNichols Sports Arena            ,Denver Nuggets,DEN
328,1996,McNichols Sports Arena            ,Denver Nuggets,DEN
329,1997,McNichols Sports Arena            ,Denver Nuggets,DEN
330,1998,McNichols Sports Arena            ,Denver Nuggets,DEN
331,1999,Pepsi Center                      ,Denver Nuggets,DEN
332,2000,Pepsi Center                      ,Denver Nuggets,DEN
333,2001,Pepsi Center                      ,Denver Nuggets,DEN
334,2002,Pepsi Center                      ,Denver Nuggets,DEN
335,2003,Pepsi Center                      ,Denver Nuggets,DEN
336,2004,Pepsi Center                      ,Denver Nuggets,DEN
337,2005,Pepsi Center                      ,Denver Nuggets,DEN
338,2006,Pepsi Center                      ,Denver Nuggets,DEN
339,2007,Pepsi Center                      ,Denver Nuggets,DEN
340,2008,Pepsi Center                      ,Denver Nuggets,DEN
341,2009,Pepsi Center                      ,Denver Nuggets,DEN
342,2010,Pepsi Center                      ,Denver Nuggets,DEN
343,2011,Pepsi Center                      ,Denver Nuggets,DEN
344,2012,Pepsi Center                      ,Denver Nuggets,DEN
345,2013,Pepsi Center                      ,Denver Nuggets,DEN
346,2014,Pepsi Center                      ,Denver Nuggets,DEN
347,2015,Pepsi Center                      ,Denver Nuggets,DEN
348,2016,Pepsi Center                      ,Denver Nuggets,DEN
349,2017,Pepsi Center                      ,Denver Nuggets,DEN
350,2018,Pepsi Center                      ,Denver Nuggets,DEN
351,1948,North Side High School Gym   Fort   ,Detroit Pistons,DET
352,1949,North Side High School Gym   Fort   ,Detroit Pistons,DET
353,1950,North Side High School Gym   Fort   ,Detroit Pistons,DET
354,1951,North Side High School Gym   Fort   ,Detroit Pistons,DET
355,1952,Memorial Coliseum            Fort   ,Detroit Pistons,DET
356,1953,Memorial Coliseum            Fort   ,Detroit Pistons,DET
357,1954,Memorial Coliseum            Fort   ,Detroit Pistons,DET
358,1955,Memorial Coliseum            Fort   ,Detroit Pistons,DET
359,1956,Memorial Coliseum            Fort   ,Detroit Pistons,DET
360,1957,Olympia Stadium                  ,Detroit Pistons,DET
361,1958,Olympia Stadium                  ,Detroit Pistons,DET
362,1959,Olympia Stadium                  ,Detroit Pistons,DET
363,1960,Olympia Stadium                  ,Detroit Pistons,DET
364,1961,Cobo Arena                       ,Detroit Pistons,DET
365,1962,Cobo Arena                       ,Detroit Pistons,DET
366,1963,Cobo Arena                       ,Detroit Pistons,DET
367,1964,Cobo Arena                       ,Detroit Pistons,DET
368,1965,Cobo Arena                       ,Detroit Pistons,DET
369,1966,Cobo Arena                       ,Detroit Pistons,DET
370,1967,Cobo Arena                       ,Detroit Pistons,DET
371,1968,Cobo Arena                       ,Detroit Pistons,DET
372,1969,Cobo Arena                       ,Detroit Pistons,DET
373,1970,Cobo Arena                       ,Detroit Pistons,DET
374,1971,Cobo Arena                       ,Detroit Pistons,DET
375,1972,Cobo Arena                       ,Detroit Pistons,DET
376,1973,Cobo Arena                       ,Detroit Pistons,DET
377,1974,Cobo Arena                       ,Detroit Pistons,DET
378,1975,Cobo Arena                       ,Detroit Pistons,DET
379,1976,Cobo Arena                       ,Detroit Pistons,DET
380,1977,Cobo Arena                       ,Detroit Pistons,DET
381,1978,Silverdome                       ,Detroit Pistons,DET
382,1979,Silverdome                       ,Detroit Pistons,DET
383,1980,Silverdome                       ,Detroit Pistons,DET
384,1981,Silverdome                       ,Detroit Pistons,DET
385,1982,Silverdome                       ,Detroit Pistons,DET
386,1983,Silverdome                       ,Detroit Pistons,DET
387,1984,Silverdome                       ,Detroit Pistons,DET
388,1985,Silverdome                       ,Detroit Pistons,DET
389,1986,Silverdome                       ,Detroit Pistons,DET
390,1987,Silverdome                       ,Detroit Pistons,DET
391,1988,Palace of Auburn       ,Detroit Pistons,DET
392,1989,Palace of Auburn       ,Detroit Pistons,DET
393,1990,Palace of Auburn       ,Detroit Pistons,DET
394,1991,Palace of Auburn       ,Detroit Pistons,DET
395,1992,Palace of Auburn       ,Detroit Pistons,DET
396,1993,Palace of Auburn       ,Detroit Pistons,DET
397,1994,Palace of Auburn       ,Detroit Pistons,DET
398,1995,Palace of Auburn       ,Detroit Pistons,DET
399,1996,Palace of Auburn       ,Detroit Pistons,DET
400,1997,Palace of Auburn       ,Detroit Pistons,DET
401,1998,Palace of Auburn       ,Detroit Pistons,DET
402,1999,Palace of Auburn       ,Detroit Pistons,DET
403,2000,Palace of Auburn       ,Detroit Pistons,DET
404,2001,Palace of Auburn       ,Detroit Pistons,DET
405,2002,Palace of Auburn       ,Detroit Pistons,DET
406,2003,Palace of Auburn       ,Detroit Pistons,DET
407,2004,Palace of Auburn       ,Detroit Pistons,DET
408,2005,Palace of Auburn       ,Detroit Pistons,DET
409,2006,Palace of Auburn       ,Detroit Pistons,DET
410,2007,Palace of Auburn       ,Detroit Pistons,DET
411,2008,Palace of Auburn       ,Detroit Pistons,DET
412,2009,Palace of Auburn       ,Detroit Pistons,DET
413,2010,Palace of Auburn       ,Detroit Pistons,DET
414,2011,Palace of Auburn       ,Detroit Pistons,DET
415,2012,Palace of Auburn       ,Detroit Pistons,DET
416,2013,Palace of Auburn       ,Detroit Pistons,DET
417,2014,Palace of Auburn       ,Detroit Pistons,DET
418,2015,Palace of Auburn       ,Detroit Pistons,DET
419,2016,Palace of Auburn       ,Detroit Pistons,DET
420,2017,Palace of Auburn       ,Detroit Pistons,DET
421,2018,Palace of Auburn       ,Detroit Pistons,DET
422,1946,Philadelphia Arena              ,Golden State Warriors ,GSW
423,1947,Philadelphia Arena              ,Golden State Warriors ,GSW
424,1948,Philadelphia Arena              ,Golden State Warriors ,GSW
425,1949,Philadelphia Arena              ,Golden State Warriors ,GSW
426,1950,Philadelphia Arena              ,Golden State Warriors ,GSW
427,1951,Philadelphia Arena              ,Golden State Warriors ,GSW
428,1952,Convention Hall                 ,Golden State Warriors ,GSW
429,1953,Convention Hall                 ,Golden State Warriors ,GSW
430,1954,Convention Hall                 ,Golden State Warriors ,GSW
431,1955,Convention Hall                 ,Golden State Warriors ,GSW
432,1956,Convention Hall                 ,Golden State Warriors ,GSW
433,1957,Convention Hall                 ,Golden State Warriors ,GSW
434,1958,Convention Hall                 ,Golden State Warriors ,GSW
435,1959,Convention Hall                 ,Golden State Warriors ,GSW
436,1960,Convention Hall                 ,Golden State Warriors ,GSW
437,1961,Convention Hall                 ,Golden State Warriors ,GSW
438,1962,Cow Palace                  ,Golden State Warriors ,GSW
439,1963,Cow Palace                  ,Golden State Warriors ,GSW
440,1964,Civic Auditorium          ,Golden State Warriors ,GSW
441,1965,Civic Auditorium          ,Golden State Warriors ,GSW
442,1966,Cow Palace       ,Golden State Warriors ,GSW
443,1967,Cow Palace              ,Golden State Warriors ,GSW
444,1968,Cow Palace              ,Golden State Warriors ,GSW
445,1969,Cow Palace              ,Golden State Warriors ,GSW
446,1970,Cow Palace              ,Golden State Warriors ,GSW
447,1971,Oakland Coliseum        ,Golden State Warriors ,GSW
448,1972,Oakland Coliseum        ,Golden State Warriors ,GSW
449,1973,Oakland Coliseum        ,Golden State Warriors ,GSW
450,1974,Oakland Coliseum        ,Golden State Warriors ,GSW
451,1975,Oakland Coliseum        ,Golden State Warriors ,GSW
452,1976,Oakland Coliseum        ,Golden State Warriors ,GSW
453,1977,Oakland Coliseum        ,Golden State Warriors ,GSW
454,1978,Oakland Coliseum        ,Golden State Warriors ,GSW
455,1979,Oakland Coliseum        ,Golden State Warriors ,GSW
456,1980,Oakland Coliseum        ,Golden State Warriors ,GSW
457,1981,Oakland Coliseum        ,Golden State Warriors ,GSW
458,1982,Oakland Coliseum        ,Golden State Warriors ,GSW
459,1983,Oakland Coliseum        ,Golden State Warriors ,GSW
460,1984,Oakland Coliseum        ,Golden State Warriors ,GSW
461,1985,Oakland Coliseum        ,Golden State Warriors ,GSW
462,1986,Oakland Coliseum        ,Golden State Warriors ,GSW
463,1987,Oakland Coliseum        ,Golden State Warriors ,GSW
464,1988,Oakland Coliseum        ,Golden State Warriors ,GSW
465,1989,Oakland Coliseum        ,Golden State Warriors ,GSW
466,1990,Oakland Coliseum        ,Golden State Warriors ,GSW
467,1991,Oakland Coliseum        ,Golden State Warriors ,GSW
468,1992,Oakland Coliseum        ,Golden State Warriors ,GSW
469,1993,Oakland Coliseum        ,Golden State Warriors ,GSW
470,1994,Oakland Coliseum        ,Golden State Warriors ,GSW
471,1995,Oakland Coliseum        ,Golden State Warriors ,GSW
